Company,Location,Industry,Date,Total Employees,Laid Off,Percentage,Department,Funds Raised,Stage
Company47,United States,Fintech,2023-05-11,43998,78.0,0.18,Sales,2B,Series A
Company39,US,Entertainment,2020-07-05,21156,1339.0,6.33,Design,5B+,Public
Airbnb,London,Automotive,2023-02-26,31684,,,Finance,Not specified,IPO
Amazon,Seattle,Automotive,2020-04-26,26689,,,Marketing,500M,Private
Company42,United States,Fintech,2024-06-07,47903,747.0,1.56,Design,2B,Private
Company4,New York,E-commerce,2022-04-15,2110,71.0,3.36,Finance,500M,Public
Intel,San Francisco,Cloud,2023-10-30,22305,1012.0,4.54,Engineering,2B,IPO
Nvidia,London,Hardware,2024-09-06,16858,1670.0,9.91,Operations,,Public
Salesforce,India,Fintech,2025-05-29,33624,3184.0,9.47,Engineering,1B,Private
Company1,New York,Entertainment,2024-03-01,16070,1030.0,6.41,Sales,Not specified,Series A
Company2,India,Hardware,14/01/2021,15670,269.0,1.72,Marketing,100M,IPO
Meta,,Fintech,03/11/2022,9922,942.0,9.49,Design,Not specified,Private
Company28,Germany,Social Media,2022-03-06,21121,762.0,3.61,Operations,5B+,IPO
Company40,London,Social Media,2021-08-10,37764,1508.0,3.99,Product,1B,Series A
Company37,Germany,Social Media,2025-11-30,41167,,,Product,1B,IPO
Company46,Seattle,Automotive,2023-01-28,38080,,,HR,500M,Series A
Company22,USA,Cloud,2022-12-01,34926,544.0,1.56,Sales,Not specified,Private
Company16,London,Social Media,2022-12-12,5067,,,Sales,500M,Series A
Company36,France,Automotive,2022-12-09,24459,919.0,3.76,Marketing,1B,IPO
Company32,India,Hardware,2024-04-21,42230,353.0,0.84,Product,Not specified,IPO
Company41,USA,Software,2020-08-14,32848,1406.0,4.28,Design,5B+,Public
Company43,New York,Social Media,2023-09-26,19740,873.0,4.42,Sales,500M,Series A
Company2,UK,Fintech,15/04/2021,41726,1512.0,3.62,Sales,5B+,IPO
Company41,New York,Software,2024-08-17,10609,,,Marketing,100M,Private
Nvidia,,Hardware,2025-05-22,5682,352.0,6.2,Operations,1B,Public
Company13,US,Fintech,2021-11-02,46650,2863.0,6.14,Marketing,2B,Public
Company42,France,Hardware,2021-04-07,47870,346.0,0.72,Marketing,2B,Private
Company8,London,Software,2023-06-10,3939,296.0,7.51,Marketing,500M,Public
Company28,UK,E-commerce,2023-12-09,38863,3465.0,8.92,Sales,Not specified,IPO
Company16,San Francisco,E-commerce,2022-12-29,18776,169.0,0.9,Operations,Not specified,Series A
Company34,United States,Hardware,2025-10-10,10964,848.0,7.73,Product,Not specified,Series A
Amazon,USA,Hardware,2020-10-25,24987,,,Engineering,5B+,IPO
Company34,New York,Automotive,2023-07-13,39419,3381.0,8.58,Finance,,Private
Company36,United States,Entertainment,28/06/2024,41201,228.0,0.55,HR,100M,IPO
Company22,USA,Software,10/11/2025,3429,286.0,8.34,Design,Not specified,IPO
Company37,Seattle,Fintech,2020-01-16,44407,2676.0,6.03,Design,Not specified,Private
Uber,Seattle,Software,2022-03-25,46656,3654.0,7.83,Sales,2B,IPO
Amazon,Germany,E-commerce,2022-11-03,44007,3114.0,7.08,Finance,,Public
Twitter,London,Entertainment,2025-01-28,37656,1595.0,4.24,Product,1B,Public
Company39,USA,Automotive,2021-12-04,33539,395.0,1.18,HR,2B,IPO
Company32,San Francisco,Social Media,2024-12-27,43987,,,Marketing,2B,Private
Company49,,Hardware,2025-06-29,36165,396.0,1.09,HR,500M,Series A
Company49,UK,Software,2022-08-13,37282,,,Product,100M,Private
Company47,Seattle,Software,2022-04-18,32854,1634.0,4.97,Marketing,2B,Public
Palantir,New York,Entertainment,2025-06-17,15178,425.0,2.8,Design,,Private
Company18,Germany,Fintech,2023-03-02,37545,2381.0,6.34,Marketing,2B,Series A
Company29,Germany,Cloud,2021-03-16,13454,273.0,2.03,Marketing,500M,Series A
Company29,,Automotive,2024-11-27,26567,2305.0,8.68,Marketing,5B+,Private
Company43,India,Automotive,2023-08-27,24139,1014.0,4.2,HR,2B,Series A
Company49,London,Social Media,2024-01-11,26407,2201.0,8.33,Sales,500M,IPO
Company24,,Entertainment,2023-05-02,47807,1831.0,3.83,Design,5B+,IPO
Palantir,United States,Cloud,2021-04-08,8709,480.0,5.51,Marketing,500M,IPO
Company48,India,Software,2021-01-05,25734,1813.0,7.05,Sales,1B,Public
Company17,San Francisco,Automotive,2021-06-20,26192,156.0,0.6,Product,100M,Private
Company11,,Software,2024-05-24,23791,2168.0,9.11,Product,5B+,IPO
Company43,Canada,Software,2025-06-18,45345,2701.0,5.96,Finance,1B,Private
Company31,Canada,Automotive,2020-02-19,47785,181.0,0.38,Finance,2B,IPO
Company7,San Francisco,Fintech,2022-12-25,11677,,,Product,,Series A
Company16,United States,Cloud,2022-07-12,1395,103.0,7.38,Product,Not specified,Series A
Company23,US,Social Media,2021-01-22,23452,967.0,4.12,Product,5B+,Public
Google,Canada,Cloud,2020-09-03,14305,704.0,4.92,Engineering,100M,Public
Company35,,Hardware,2022-06-22,17945,1199.0,6.68,Marketing,1B,Private
Company4,London,E-commerce,2024-09-06,5695,,,Design,Not specified,IPO
Palantir,UK,Automotive,2024-12-11,3223,,,Marketing,1B,IPO
Company17,Canada,Social Media,2020-02-22,37103,536.0,1.44,Operations,500M,Private
Company23,UK,Software,2024-11-20,21454,431.0,2.01,Product,,Private
Company48,UK,Automotive,13/11/2025,46489,1703.0,3.66,Engineering,2B,IPO
Company40,Seattle,Hardware,2025-04-04,1690,87.0,5.15,Design,5B+,Public
Company43,,E-commerce,2024-05-07,9496,1016.0,10.7,Design,5B+,IPO
Company41,United States,Software,2023-08-20,22175,969.0,4.37,Finance,100M,Public
Company13,UK,Entertainment,2024-12-16,46610,55.0,0.12,Sales,1B,IPO
Palantir,,Software,2024-02-19,14100,973.0,6.9,Finance,100M,Series A
Amazon,New York,Fintech,2021-04-06,20623,385.0,1.87,Engineering,2B,Public
Microsoft,,Cloud,2022-11-19,35361,859.0,2.43,HR,100M,IPO
Company32,,Automotive,2022-06-05,13939,269.0,1.93,Design,100M,IPO
Company35,New York,E-commerce,2024-03-28,19680,1126.0,5.72,Engineering,100M,Series A
Oracle,London,Cloud,2021-08-15,30790,911.0,2.96,Operations,100M,Series A
Company8,,Entertainment,2024-06-18,10716,,,Design,5B+,IPO
Company37,San Francisco,Social Media,2022-12-22,23184,2080.0,8.97,HR,100M,Series A
Zoom,,Automotive,2023-06-11,21608,1608.0,7.44,Sales,,Public
Microsoft,,Entertainment,2022-10-23,33747,712.0,2.11,Operations,5B+,Private
Netflix,USA,Automotive,2025-04-13,2780,323.0,11.62,Design,100M,Public
Airbnb,Seattle,Software,2024-10-15,47023,93.0,0.2,Product,Not specified,IPO
Company13,Germany,Social Media,2023-03-20,2208,46.0,2.08,Sales,1B,IPO
Zoom,Germany,Hardware,2023-03-08,17761,1058.0,5.96,Finance,1B,Private
DoorDash,,Fintech,2022-09-14,22256,218.0,0.98,Finance,2B,Public
Salesforce,USA,Social Media,2024-02-20,41498,643.0,1.55,Design,1B,IPO
Meta,San Francisco,Automotive,2024-08-31,43645,,,Engineering,5B+,Private
Twitter,US,E-commerce,2020-11-13,21051,101.0,0.48,Sales,100M,Public
Company40,Germany,Software,2024-10-09,40541,2619.0,6.46,HR,100M,Public
Company16,Germany,Software,2024-05-26,20251,391.0,1.93,Engineering,5B+,IPO
Company36,France,E-commerce,2021-10-11,40496,188.0,0.46,Finance,500M,Series A
Google,USA,Hardware,2025-04-22,18946,224.0,1.18,Finance,1B,Public
Company4,,Fintech,2024-09-27,10102,357.0,3.53,Operations,Not specified,IPO
Company9,UK,Fintech,2021-03-04,20109,1459.0,7.26,Marketing,,Series A
Company44,,Fintech,27/08/2022,36765,2224.0,6.05,Design,100M,IPO
Company22,,Hardware,2021-08-30,32672,,,Marketing,500M,Public
Company18,London,Entertainment,2021-08-01,44871,177.0,0.39,Product,500M,Series A
Company38,New York,Social Media,2024-09-19,37727,1759.0,4.66,Marketing,Not specified,Series A
Company12,France,Software,2024-12-04,19033,1397.0,7.34,Operations,500M,Private
Snowflake,London,Fintech,2022-05-20,35333,2223.0,6.29,Finance,5B+,Public
Company40,USA,Automotive,08/08/2020,40878,3688.0,9.02,Design,1B,Public
Company14,Seattle,Hardware,2024-12-06,26654,2573.0,9.65,HR,5B+,Public
Shopify,UK,E-commerce,2020-04-26,42066,2544.0,6.05,Product,100M,Series A
Company40,USA,Hardware,2023-09-27,26112,,,Marketing,5B+,Series A
Company31,India,Social Media,2020-05-04,23210,,,Marketing,500M,IPO
Snowflake,,Social Media,2024-06-23,25080,994.0,3.96,Finance,5B+,Private
Netflix,Canada,Cloud,2022-03-14,3600,181.0,5.03,Design,,Series A
Company24,,Software,2023-01-12,40236,1704.0,4.24,Finance,1B,Private
Company37,London,Software,2022-08-31,48314,262.0,0.54,Marketing,100M,Public
Company37,United States,E-commerce,2024-04-16,8773,501.0,5.71,Engineering,1B,IPO
Company27,India,Cloud,2022-12-30,48996,1254.0,2.56,Sales,100M,Private
Google,,Automotive,2022-11-02,42349,3423.0,8.08,Engineering,5B+,IPO
Company40,New York,Software,2021-12-09,43424,4184.0,9.64,Operations,,Public
Amazon,France,E-commerce,24/07/2022,23467,935.0,3.98,Sales,500M,IPO
Company21,Canada,Fintech,2022-07-09,20194,1006.0,4.98,Finance,100M,Private
Company30,USA,Social Media,2023-06-28,38621,3158.0,8.18,Engineering,2B,Series A
Salesforce,San Francisco,Software,2025-02-25,45420,1933.0,4.26,Operations,500M,Series A
Company22,San Francisco,Hardware,2022-07-09,34212,473.0,1.38,Sales,Not specified,Private
Zoom,India,Social Media,2023-06-11,31085,2109.0,6.78,Product,2B,Private
Company35,,Hardware,2024-10-01,18481,,,HR,100M,Series A
Apple,San Francisco,Software,2021-01-04,13906,1109.0,7.97,Operations,1B,Private
Company13,Germany,Cloud,2020-11-29,31563,212.0,0.67,Operations,,Series A
DoorDash,,Cloud,2023-12-07,40451,2666.0,6.59,Product,Not specified,Private
Company22,New York,Cloud,2025-09-23,37235,1371.0,3.68,Finance,500M,Private
Company47,UK,Automotive,2021-04-03,25036,2435.0,9.73,Product,,Series A
Company19,US,Fintech,2024-12-28,28215,2192.0,7.77,HR,500M,Public
Microsoft,Germany,Fintech,2021-01-15,31773,1854.0,5.84,Design,1B,Series A
Company2,London,Software,2025-12-24,26774,1621.0,6.05,HR,5B+,Private
Company27,India,Social Media,2020-05-13,30482,207.0,0.68,Operations,5B+,Public
Salesforce,UK,Fintech,20/04/2024,19608,2016.0,10.28,Marketing,100M,Public
Company35,United States,E-commerce,2025-12-16,37365,,,Sales,,IPO
Company18,United States,Automotive,16/01/2023,19047,1505.0,7.9,Marketing,Not specified,IPO
Company31,San Francisco,E-commerce,2024-03-05,18527,,,Design,5B+,Public
Company42,United States,Software,2022-09-05,4244,12.0,0.28,Operations,500M,IPO
Company18,San Francisco,Fintech,2023-07-10,41655,4116.0,9.88,Design,,Series A
Company19,New York,E-commerce,2023-10-27,47326,1434.0,3.03,Engineering,500M,IPO
Meta,Seattle,Cloud,30/04/2023,4962,525.0,10.58,Product,,Private
Company42,Germany,Software,2020-05-31,27685,378.0,1.37,Engineering,,Private
Amazon,United States,Hardware,2022-08-11,18684,84.0,0.45,Design,1B,Private
Company29,UK,Software,2023-06-29,29036,515.0,1.77,Design,100M,IPO
Company35,New York,Hardware,2021-09-11,2965,291.0,9.81,Marketing,5B+,IPO
Company21,US,Social Media,2022-06-25,16376,839.0,5.12,Engineering,,Public
Company11,France,Hardware,2020-05-27,18591,,,Sales,5B+,Private
Company1,US,Software,2020-03-30,27472,177.0,0.64,Product,Not specified,IPO
Company8,France,Entertainment,2025-02-13,19158,1776.0,9.27,Operations,5B+,IPO
Company25,France,Automotive,2020-03-05,25630,1325.0,5.17,Marketing,1B,Series A
Company6,France,Software,2022-12-18,27975,1730.0,6.18,HR,,Public
Company47,India,Social Media,2020-06-12,32770,2641.0,8.06,Operations,100M,Public
Company40,United States,Hardware,2020-05-10,41392,2548.0,6.16,HR,,Public
Company32,Seattle,Hardware,2021-08-21,35512,2010.0,5.66,Sales,2B,IPO
Company45,San Francisco,Automotive,2021-08-30,19212,1376.0,7.16,Product,5B+,IPO
Stripe,San Francisco,Hardware,2022-04-27,5099,509.0,9.98,Product,,IPO
Intel,United States,Automotive,2022-06-23,18040,354.0,1.96,Operations,2B,Public
Company37,India,Automotive,2025-01-24,2601,19.0,0.73,HR,Not specified,Private
Company8,France,Social Media,2023-08-25,19281,141.0,0.73,Engineering,,Public
Company29,United States,Entertainment,2024-02-09,34760,1387.0,3.99,Finance,1B,IPO
Company29,Canada,Automotive,2021-03-22,13818,690.0,4.99,Engineering,5B+,Public
Company49,United States,Automotive,2022-03-04,45754,4328.0,9.46,Sales,100M,Series A
Company17,,E-commerce,2025-01-02,4569,243.0,5.32,HR,,Private
Apple,US,Software,13/11/2023,15992,271.0,1.69,Sales,5B+,Series A
Company45,,Automotive,2025-02-17,25355,1929.0,7.61,Marketing,2B,IPO
Company17,Germany,Automotive,2022-11-24,48992,4625.0,9.44,Finance,2B,IPO
Company40,USA,Entertainment,2023-10-22,35710,1250.0,3.5,Operations,5B+,Private
Company10,USA,Automotive,2021-09-11,14136,926.0,6.55,Marketing,Not specified,Series A
Company47,Canada,Entertainment,2022-10-29,33314,,,Product,2B,Series A
Company45,,Social Media,20/08/2023,42128,1956.0,4.64,Design,Not specified,Private
Shopify,India,Entertainment,2022-07-09,3590,428.0,11.92,Engineering,100M,Public
Company49,France,Cloud,2024-08-16,38570,2529.0,6.56,Engineering,500M,Private
Company35,New York,E-commerce,2022-09-10,6320,470.0,7.44,Finance,2B,Private
Tesla,US,E-commerce,2020-05-10,18331,,,Operations,1B,Series A
Company14,UK,Fintech,2021-12-20,47025,2552.0,5.43,Finance,5B+,Series A
Company30,New York,Cloud,2020-02-17,11025,1100.0,9.98,Sales,500M,Series A
Company46,San Francisco,Software,2022-06-12,9058,575.0,6.35,Finance,1B,Public
Company20,France,E-commerce,2022-12-13,37145,3608.0,9.71,Operations,5B+,Series A
Amazon,UK,Software,2025-08-16,34402,1409.0,4.1,Product,100M,Private
Company39,France,Software,2020-03-18,29439,1007.0,3.42,Engineering,2B,Public
Company25,Germany,Software,2022-05-09,32795,1386.0,4.23,Operations,100M,Public
Stripe,,Cloud,2020-11-01,25180,,,Engineering,,IPO
Company30,France,Cloud,2022-12-19,19839,1258.0,6.34,Finance,1B,Series A
Company36,France,Social Media,2025-07-28,34439,2106.0,6.12,Marketing,100M,IPO
Company17,UK,Fintech,2022-01-04,12157,1099.0,9.04,Marketing,1B,Series A
Company12,,Entertainment,2023-01-04,4970,493.0,9.92,Finance,100M,Public
Company22,,Cloud,2024-09-11,31593,120.0,0.38,Finance,5B+,Private
Oracle,,Cloud,2021-02-10,48646,1653.0,3.4,HR,,Private
Company5,Canada,Social Media,2025-06-26,34719,658.0,1.9,Design,,Series A
Uber,London,Automotive,2022-08-11,47412,1085.0,2.29,Operations,5B+,Private
Company1,,Software,06/10/2025,24354,485.0,1.99,Sales,500M,Series A
Company34,,Software,2021-04-14,28453,2400.0,8.43,Product,500M,Series A
Amazon,,Automotive,29/12/2022,40994,1685.0,4.11,Finance,500M,IPO
Oracle,France,Fintech,2024-12-30,7406,353.0,4.77,Design,2B,Public
Company46,Germany,Automotive,2022-04-04,20420,,,Finance,2B,IPO
Company29,Canada,Automotive,2025-11-16,15670,642.0,4.1,Operations,500M,Private
Google,US,Fintech,2023-01-03,30011,2006.0,6.68,Design,Not specified,Series A
Company5,Canada,Social Media,2025-11-05,26600,1808.0,6.8,Operations,5B+,IPO
Company28,,Automotive,2020-04-28,30541,2435.0,7.97,Marketing,,Series A
Company44,United States,Cloud,2023-08-12,20797,1254.0,6.03,Sales,5B+,IPO
Company46,,Automotive,2023-02-11,9382,414.0,4.41,HR,,IPO
Company3,San Francisco,Hardware,2025-10-31,37527,177.0,0.47,Marketing,5B+,Public
Company12,New York,Entertainment,2021-02-15,32317,1683.0,5.21,Finance,Not specified,Private
Airbnb,US,Entertainment,2020-12-28,29393,,,Marketing,100M,Public
Company9,Germany,E-commerce,2024-10-23,18438,1422.0,7.71,Operations,100M,Private
Company16,,Cloud,2023-05-31,9080,222.0,2.44,Sales,2B,Private
Company48,San Francisco,Automotive,2025-02-21,43589,4298.0,9.86,Marketing,Not specified,Series A
Company6,Seattle,Hardware,2022-07-13,34149,3009.0,8.81,Sales,500M,Private
Company34,US,Hardware,2022-11-01,17905,,,Finance,,IPO
Company29,India,Cloud,2021-02-20,36745,3141.0,8.55,HR,2B,IPO
Company50,,Automotive,2022-07-09,36001,1630.0,4.53,Product,5B+,Private
Zoom,UK,Hardware,2020-12-25,48372,3707.0,7.66,HR,,Private
Company9,UK,Entertainment,2023-10-11,5102,520.0,10.19,Marketing,1B,Private
Company46,London,Social Media,04/09/2023,46312,880.0,1.9,Engineering,2B,IPO
Amazon,London,Social Media,2025-08-24,12446,53.0,0.43,Marketing,,Series A
Company37,New York,Automotive,2020-09-16,11292,1043.0,9.24,HR,,Public
Company19,United States,E-commerce,16/03/2025,16150,212.0,1.31,Sales,2B,IPO
Company11,UK,Fintech,02/01/2024,40729,3350.0,8.23,Product,1B,Private
Zoom,France,Software,2023-02-25,2561,82.0,3.2,Product,5B+,Public
Company7,France,Automotive,2020-10-30,11985,738.0,6.16,Sales,5B+,Private
Company3,France,Hardware,2020-02-23,24404,1801.0,7.38,Marketing,2B,Public
Company17,Germany,Social Media,2022-06-28,33004,1119.0,3.39,Operations,500M,Private
Company44,New York,E-commerce,2022-02-12,16591,828.0,4.99,Operations,500M,Series A
Company19,USA,Entertainment,08/11/2024,13552,872.0,6.43,Finance,5B+,Public
Company13,Canada,Automotive,2023-08-20,31657,,,HR,2B,Private
Company3,India,Social Media,2022-10-18,2044,112.0,5.48,Operations,1B,Series A
Amazon,San Francisco,Automotive,2024-01-02,2161,192.0,8.88,Marketing,500M,Series A
Company46,Germany,Entertainment,2023-12-10,14880,992.0,6.67,Operations,2B,Public
Company50,San Francisco,Automotive,2024-07-26,24616,2245.0,9.12,Product,100M,Private
Company28,New York,Hardware,2022-07-03,2049,17.0,0.83,Operations,500M,Public
Company3,India,Fintech,2022-09-11,32529,2962.0,9.11,Engineering,2B,Series A
Company9,USA,Entertainment,2022-09-10,27301,2650.0,9.71,HR,,IPO
Company9,Germany,Cloud,2025-04-27,33209,388.0,1.17,Engineering,500M,Series A
Company20,,Automotive,2021-12-04,15642,1533.0,9.8,Product,2B,Public
Tesla,,Entertainment,2023-10-24,18765,1232.0,6.57,Product,Not specified,Public
Amazon,US,Entertainment,2025-04-09,9109,573.0,6.29,Finance,,IPO
Intel,,Fintech,2023-06-13,1255,21.0,1.67,Product,,IPO
Company20,,Hardware,2024-08-06,10945,316.0,2.89,Design,100M,Private
DoorDash,US,Software,2023-02-24,12384,74.0,0.6,Operations,,Series A
Nvidia,UK,Automotive,28/12/2024,2135,147.0,6.89,HR,2B,Series A
Nvidia,Seattle,Software,2020-10-15,19456,1301.0,6.69,Design,1B,Private
Intel,New York,Cloud,2025-02-09,24901,1816.0,7.29,Finance,1B,IPO
Company11,France,Hardware,2020-08-25,15770,1423.0,9.02,Marketing,,IPO
Company11,New York,E-commerce,2020-08-13,30059,2875.0,9.56,HR,500M,Public
Company7,Canada,Automotive,2024-04-05,8572,226.0,2.64,Marketing,5B+,Series A
Company5,London,Hardware,2023-05-30,3076,230.0,7.48,Product,1B,Public
Company22,,Hardware,2024-07-25,45971,3473.0,7.55,Engineering,5B+,IPO
Company15,USA,Entertainment,2022-08-19,9798,553.0,5.64,Sales,2B,IPO
Company32,Canada,Entertainment,2020-06-04,14181,248.0,1.75,Product,100M,Series A
Uber,New York,Software,2022-02-10,8637,725.0,8.39,Sales,Not specified,IPO
Company6,Germany,Fintech,2020-04-09,7659,448.0,5.85,Product,1B,IPO
Netflix,Germany,Automotive,2023-08-30,31847,2498.0,7.84,Engineering,100M,Private
Company33,France,Entertainment,2024-04-19,41502,1548.0,3.73,Product,2B,IPO
Company17,United States,Software,2023-12-30,26838,1334.0,4.97,Design,,Private
Company35,,Fintech,2020-01-28,16928,980.0,5.79,Product,,IPO
Company15,India,Fintech,2024-08-29,22364,,,Engineering,500M,Private
Company5,India,Cloud,2021-10-20,2737,200.0,7.31,Finance,,Private
Shopify,Seattle,Automotive,2023-10-01,34688,2428.0,7.0,Operations,2B,Public
Company11,USA,Automotive,2020-09-28,15691,,,Engineering,Not specified,Series A
Company3,Germany,Entertainment,2020-12-30,48160,4376.0,9.09,Sales,,Private
Company15,Seattle,Entertainment,2023-01-17,34298,2843.0,8.29,Design,1B,Public
Company12,UK,E-commerce,2021-02-17,45416,,,Operations,,IPO
Company22,Seattle,Fintech,2025-05-14,21977,,,Finance,100M,IPO
Company14,,Fintech,2024-10-17,14936,232.0,1.55,Design,Not specified,Public
Company6,Canada,Entertainment,29/08/2021,11411,1225.0,10.74,Operations,Not specified,IPO
Company25,USA,Social Media,2022-10-06,46907,385.0,0.82,Operations,,Public
Twitter,France,Hardware,2020-11-21,12434,237.0,1.91,Engineering,Not specified,IPO
Company20,London,Hardware,2025-09-30,1947,92.0,4.73,Operations,2B,Series A
Company25,US,Automotive,2023-12-15,35833,2976.0,8.31,Sales,100M,Private
Company29,Seattle,Software,2024-02-06,7587,803.0,10.58,Finance,Not specified,Public
Company37,London,Social Media,15/11/2025,48728,2064.0,4.24,Marketing,100M,IPO
Company29,Germany,Cloud,2020-01-22,40697,2650.0,6.51,Design,500M,Public
Uber,UK,Cloud,2021-10-20,1443,45.0,3.12,Design,5B+,Public
Company10,London,Cloud,2021-05-24,14587,398.0,2.73,HR,Not specified,Series A
Microsoft,Seattle,Automotive,2021-10-23,27785,1101.0,3.96,Operations,Not specified,Public
Company49,US,E-commerce,2024-02-01,22706,1865.0,8.21,Design,5B+,Public
Company48,United States,Software,2020-06-11,22143,834.0,3.77,Finance,2B,Private
Company42,New York,Automotive,2025-12-19,22395,364.0,1.63,Marketing,,Series A
Company47,France,E-commerce,2021-12-08,29239,2074.0,7.09,Marketing,Not specified,IPO
Company3,USA,Automotive,2023-12-23,26298,1721.0,6.54,Finance,5B+,Private
Company38,Germany,Automotive,2020-12-02,25295,598.0,2.36,Design,5B+,Private
Company17,Canada,Entertainment,2020-10-14,27547,401.0,1.46,Product,1B,IPO
Airbnb,,Entertainment,2020-05-21,47619,941.0,1.98,Product,Not specified,Series A
Meta,US,Automotive,2025-08-08,28140,1773.0,6.3,Finance,2B,Private
Company5,San Francisco,Fintech,2024-10-02,3056,154.0,5.04,Product,Not specified,Series A
Company12,,Social Media,2025-06-08,38554,2119.0,5.5,Sales,5B+,Public
Company31,Seattle,Entertainment,2020-07-01,10910,,,Design,100M,Public
Company29,London,Software,2021-05-25,1597,219.0,13.71,Finance,,Series A
Company27,,Cloud,2024-03-20,26605,726.0,2.73,Finance,1B,Series A
Company36,Canada,Entertainment,2022-05-20,42164,3589.0,8.51,Engineering,500M,Private
Company4,San Francisco,Hardware,2021-02-28,22219,804.0,3.62,Marketing,Not specified,Private
Company20,Germany,Hardware,2024-05-06,24490,485.0,1.98,Sales,5B+,Private
Company46,Canada,Hardware,2021-11-11,38284,1558.0,4.07,Finance,2B,Public
Company36,Seattle,Cloud,2023-02-11,40720,3534.0,8.68,Finance,500M,Public
Microsoft,New York,Entertainment,2020-04-20,16674,961.0,5.76,Engineering,100M,Private
Company40,Germany,Fintech,2020-07-20,32629,1132.0,3.47,Finance,1B,IPO
Company23,San Francisco,Software,2025-03-18,13336,,,Engineering,2B,IPO
Shopify,,Software,2020-12-19,26176,997.0,3.81,Sales,1B,Public
Company8,,E-commerce,2024-02-14,20984,604.0,2.88,Finance,,Series A
Company3,France,Social Media,2021-02-08,48872,10.0,0.02,Operations,,Public
Company3,India,Software,2020-02-14,17070,1234.0,7.23,Finance,,Series A
Company36,San Francisco,Software,2021-07-08,23551,,,HR,1B,Series A
Company1,USA,Software,2022-09-25,4692,181.0,3.86,HR,2B,Series A
Intel,UK,Fintech,2023-02-19,23958,435.0,1.82,Product,100M,Series A
Company10,United States,Automotive,2022-02-08,38419,,,Sales,100M,Private
Company12,San Francisco,Software,2022-07-09,8394,312.0,3.72,Operations,500M,IPO
Airbnb,Germany,Fintech,2021-12-26,49276,4271.0,8.67,Engineering,500M,Series A
Uber,US,Entertainment,2024-11-19,8814,693.0,7.86,Product,Not specified,Series A
Uber,India,Entertainment,2023-12-14,30592,851.0,2.78,Marketing,1B,Public
Company5,Canada,Cloud,2021-10-14,25515,1671.0,6.55,Operations,2B,Series A
Company35,India,Automotive,2021-12-10,34650,2292.0,6.61,HR,2B,Series A
Company31,,E-commerce,2020-06-09,49037,,,Product,Not specified,Series A
Company49,USA,Automotive,2021-07-12,22742,262.0,1.15,Product,100M,Private
Company2,USA,Social Media,2022-03-19,37498,158.0,0.42,Sales,500M,Private
Company30,,Fintech,2022-03-21,33333,3321.0,9.96,Marketing,2B,Private
Company28,Germany,Entertainment,2022-09-30,34444,1840.0,5.34,Engineering,5B+,IPO
Company36,US,Social Media,2020-03-05,35917,883.0,2.46,Finance,500M,Public
Apple,Germany,Automotive,2021-03-24,8311,877.0,10.55,Product,100M,Public
Company38,Germany,Hardware,2022-03-24,34414,570.0,1.66,Engineering,,Public
Company46,United States,Cloud,2023-06-01,44498,3785.0,8.51,HR,100M,Private
Company15,United States,Software,2024-10-01,29395,1724.0,5.86,Sales,Not specified,IPO
Company3,USA,Social Media,2025-04-16,1079,130.0,12.05,Finance,100M,Public
Company45,United States,Hardware,2023-06-04,16754,299.0,1.78,Product,100M,Series A
Company20,India,E-commerce,2020-12-07,24244,481.0,1.98,Marketing,500M,Private
Oracle,,Social Media,2023-11-11,33203,1976.0,5.95,Marketing,500M,Series A
Company29,France,Software,2021-09-20,13288,,,Operations,100M,IPO
Company12,New York,Fintech,2020-09-10,43278,,,Operations,Not specified,IPO
Microsoft,India,Fintech,2022-11-17,44429,,,HR,2B,Series A
Company17,,Fintech,2025-01-27,47176,4055.0,8.6,Design,1B,IPO
Company16,UK,Hardware,2023-05-06,47340,,,Engineering,500M,Public
Company15,US,Entertainment,03/03/2024,47539,531.0,1.12,HR,500M,IPO
Company49,Canada,Entertainment,2024-12-22,38180,,,HR,500M,Public
Twitter,France,Fintech,2021-08-10,16531,1578.0,9.55,Operations,500M,IPO
Company33,Seattle,Entertainment,2021-08-23,36774,3363.0,9.15,Finance,5B+,Series A
Company6,Canada,Fintech,2021-09-15,10481,447.0,4.26,HR,100M,IPO
Company41,India,Hardware,2022-08-30,33664,142.0,0.42,Product,500M,IPO
Stripe,New York,Fintech,2021-03-10,6984,372.0,5.33,Product,,Private
Company37,,Hardware,2020-07-11,9503,738.0,7.77,Design,Not specified,IPO
Company10,San Francisco,Automotive,2022-12-27,39130,808.0,2.06,HR,5B+,Private
Company23,,Hardware,2022-04-12,7953,189.0,2.38,HR,1B,Series A
Company42,UK,Software,2023-05-12,49484,,,Marketing,500M,IPO
Tesla,New York,Software,2021-06-07,44271,1670.0,3.77,HR,500M,IPO
Company21,Canada,E-commerce,2025-08-10,49880,2792.0,5.6,Design,1B,IPO
Company19,UK,Software,17/12/2020,20122,1397.0,6.94,Marketing,5B+,IPO
Stripe,New York,E-commerce,2021-08-02,30465,1606.0,5.27,Product,Not specified,Series A
Company13,India,Cloud,2022-05-15,44451,164.0,0.37,HR,2B,Private
Company39,,Social Media,20/08/2024,39413,,,Design,Not specified,Private
Company14,New York,Entertainment,2024-07-21,47577,560.0,1.18,HR,1B,Private
Twitter,London,Entertainment,2024-08-28,34447,1139.0,3.31,HR,1B,IPO
