Company,Location,Industry,Date,Year,Total_Employees,Laid_Off,Layoff_Percentage,Department,Funds_Raised,Stage,Layoff_Intensity_Category,"Company_Size_Category
","Funding_Category
"
Company31,India,Hardware,2024-12-15,2024,"2,831",88,3.11%,Product,2B,Public,Low,Small,Late Stage
Microsoft,India,Software,2020-08-13,2020,"41,111",1583,3.85%,Design,Not specified,Series A,Low,Large,Unknown
Company31,India,Hardware,2024-10-02,2024,"5,861",296,5.05%,Design,1B,Private,Moderate,Medium,Late Stage
Twitter,United Kingdom,Hardware,2024-02-29,2024,"22,383",846,3.78%,Engineering,1B,Private,Low,Large,Late Stage
Shopify,United States,Automotive,2021-06-19,2021,"47,215",2052,4.35%,Engineering,Not Specified,Private,Low,Large,Unknown
Company42,United States,Hardware,2023-05-28,2023,"44,239",2290,5.18%,Product,500M,Public,Moderate,Large,Growth Stage
Shopify,United States,E-commerce,2020-04-13,2020,"24,574",1591,6.47%,Design,100M,Series A,Moderate,Large,Early Stage
Airbnb,United Kingdom,Software,2025-11-30,2025,"9,149",615,6.72%,Product,2B,Private,Moderate,Medium,Late Stage
Company38,United States,Fintech,2025-07-31,2025,"48,736",2536,5.20%,Operations,500M,Private,Moderate,Large,Growth Stage
Stripe,United States,Fintech,2023-06-29,2023,"34,368",NA,0.00%,Product,1B,Private,Low,Large,Late Stage
Apple,United States,Social Media,2025-03-22,2025,"10,439",535,5.13%,Marketing,1B,IPO,Moderate,Medium,Late Stage
Company31,United States,Automotive,2022-03-07,2022,"9,027",NA,0.00%,Engineering,100M,Private,Low,Medium,Early Stage
Company29,India,Software,2025-11-12,2025,"46,615",NA,0.00%,Product,Not Specified,Series A,Low,Large,Unknown
Company35,Unknown,Social Media,2023-07-06,2023,"5,898",452,7.66%,Design,Not Specified,Private,High,Medium,Unknown
Company1,Canada,Fintech,2023-02-15,2023,"30,715",3013,9.81%,Engineering,500M,Private,Severe,Large,Growth Stage
Company4,United States,E-commerce,2020-12-10,2020,"35,902",2546,7.09%,HR,100M,Private,High,Large,Early Stage
Company25,Unknown,Cloud,2024-09-01,2024,"28,516",64,0.22%,Finance,100M,Public,Low,Large,Early Stage
Company9,United States,Entertainment,2023-11-16,2023,"20,049",505,2.52%,Marketing,500M,IPO,Low,Large,Growth Stage
Meta,Unknown,Fintech,2022-09-16,2022,"15,635",368,2.35%,HR,500M,IPO,Low,Medium,Growth Stage
Company20,Canada,Hardware,2021-03-07,2021,"43,912",1741,3.96%,Product,500M,IPO,Low,Large,Growth Stage
Company29,United States,Fintech,2024-07-15,2024,"3,808",305,8.01%,Sales,1B,Public,Severe,Small,Late Stage
Company18,Unknown,Software,2021-03-09,2021,"22,404",1496,6.68%,Sales,Not specified,Series A,Moderate,Large,Unknown
Company15,France,Hardware,2021-04-27,2021,"10,131",951,9.39%,Design,Not specified,Private,Severe,Medium,Unknown
Company15,India,Cloud,2020-12-06,2020,"11,956",941,7.87%,Operations,2B,Private,High,Medium,Late Stage
Netflix,United States,Entertainment,2020-12-08,2020,"49,223",4615,9.38%,Operations,Not specified,Private,Severe,Large,Unknown
Company25,Unknown,Social Media,2021-08-26,2021,"37,870",3036,8.02%,Marketing,2B,Public,Severe,Large,Late Stage
Company2,United Kingdom,Cloud,2020-04-25,2020,"7,450",69,0.93%,Product,1B,Public,Low,Medium,Late Stage
Company31,India,Automotive,2022-04-17,2022,"21,553",2173,10.08%,Sales,1B,IPO,Severe,Large,Late Stage
Company14,United States,E-commerce,2021-10-01,2021,"46,382",3128,6.74%,Engineering,2B,Private,Moderate,Large,Late Stage
Palantir,United States,Cloud,2020-12-24,2020,"9,526",628,6.59%,Marketing,5B+,IPO,Moderate,Medium,Mature
Company16,France,Fintech,2020-07-02,2020,"14,155",678,4.79%,Product,2B,Series A,Low,Medium,Late Stage
Amazon,United States,Cloud,2024-12-23,2024,"13,393",823,6.15%,Product,1B,IPO,Moderate,Medium,Late Stage
Company38,United Kingdom,Hardware,2023-12-31,2023,"18,810",1782,9.47%,Finance,2B,IPO,Severe,Medium,Late Stage
Company28,Germany,Hardware,2022-08-21,2022,"38,533",2467,6.40%,Finance,Not Specified,IPO,Moderate,Large,Unknown
Company49,United States,Social Media,2024-12-20,2024,"31,635",1928,6.09%,Finance,2B,Series A,Moderate,Large,Late Stage
Salesforce,France,Hardware,2022-12-24,2022,"20,818",1128,5.42%,Operations,2B,IPO,Moderate,Large,Late Stage
Company21,France,Software,2025-10-09,2025,"6,789",131,1.93%,Design,Not Specified,Private,Low,Medium,Unknown
Company35,India,Social Media,2021-02-02,2021,"21,534",519,2.41%,Design,1B,Series A,Low,Large,Late Stage
Snowflake,United States,Automotive,2020-08-02,2020,"19,595",NA,0.00%,Engineering,100M,Public,Low,Medium,Early Stage
Nvidia,France,Fintech,2025-06-11,2025,"1,500",157,10.47%,Finance,2B,Private,Severe,Small,Late Stage
Google,Unknown,Hardware,2023-09-23,2023,"23,343",1460,6.25%,Engineering,100M,Private,Moderate,Large,Early Stage
Company7,India,Automotive,2025-04-07,2025,"42,471",196,0.46%,Finance,100M,Private,Low,Large,Early Stage
Company8,India,Fintech,2021-09-22,2021,"36,677",3394,9.25%,Engineering,500M,IPO,Severe,Large,Growth Stage
Netflix,Germany,Cloud,2022-12-23,2022,"23,993",1275,5.31%,Marketing,500M,Series A,Moderate,Large,Growth Stage
Oracle,United Kingdom,E-commerce,2025-03-16,2025,"44,060",4157,9.43%,Marketing,2B,Private,Severe,Large,Late Stage
Company41,Canada,Entertainment,2021-04-04,2021,"38,968",1692,4.34%,HR,Not Specified,IPO,Low,Large,Unknown
Company49,United States,Entertainment,2025-01-25,2025,"3,107",279,8.98%,Operations,Not specified,Series A,Severe,Small,Unknown
Company30,United States,Fintech,2022-09-03,2022,"39,774",232,0.58%,Operations,5B+,IPO,Low,Large,Mature
Netflix,United States,Social Media,2021-04-29,2021,"34,220",2641,7.72%,Sales,2B,IPO,High,Large,Late Stage
Company6,Unknown,Automotive,2024-10-05,2024,"27,015",1768,6.54%,Engineering,2B,Private,Moderate,Large,Late Stage
Company35,United Kingdom,Hardware,2022-08-09,2022,"6,255",142,2.27%,Product,100M,Series A,Low,Medium,Early Stage
Company41,United Kingdom,E-commerce,2023-09-09,2023,"36,548",3279,8.97%,Operations,100M,Private,Severe,Large,Early Stage
Company45,Germany,Software,2020-02-08,2020,"38,066",1666,4.38%,Operations,5B+,IPO,Low,Large,Mature
Company19,United Kingdom,Automotive,2020-06-08,2020,"15,306",251,1.64%,Marketing,100M,Public,Low,Medium,Early Stage
Company42,United Kingdom,Hardware,2021-02-03,2021,"49,115",76,0.15%,Marketing,5B+,Private,Low,Large,Mature
Company15,Unknown,Hardware,2022-04-01,2022,"6,942",89,1.28%,Operations,500M,Public,Low,Medium,Growth Stage
Company15,United States,E-commerce,2021-08-13,2021,"24,949",710,2.85%,Finance,Not specified,Public,Low,Large,Unknown
Netflix,France,Hardware,2021-09-08,2021,"11,296",244,2.16%,Design,2B,Public,Low,Medium,Late Stage
Company44,India,Cloud,2022-10-02,2022,"11,903",374,3.14%,Product,Not specified,IPO,Low,Medium,Unknown
Twitter,India,Cloud,2022-10-26,2022,"29,774",1724,5.79%,Engineering,5B+,Private,Moderate,Large,Mature
Company45,Unknown,Entertainment,2024-12-02,2024,"18,338",366,2.00%,HR,1B,Series A,Low,Medium,Late Stage
Company13,India,Automotive,2025-03-24,2025,"7,106",708,9.96%,Engineering,1B,Private,Severe,Medium,Late Stage
Nvidia,India,Fintech,2025-04-23,2025,"40,958",2656,6.48%,HR,Not specified,Private,Moderate,Large,Unknown
DoorDash,Unknown,Hardware,2022-06-14,2022,"47,118",316,0.67%,HR,5B+,Series A,Low,Large,Mature
Company16,Unknown,Automotive,2025-12-20,2025,"30,362",1875,6.18%,Finance,Not specified,Public,Moderate,Large,Unknown
Company46,Canada,E-commerce,2020-12-25,2020,"23,218",873,3.76%,Sales,100M,Public,Low,Large,Early Stage
Company21,United States,Social Media,2020-12-10,2020,"46,179",4152,8.99%,Marketing,100M,Public,Severe,Large,Early Stage
Snowflake,France,E-commerce,2020-02-21,2020,"3,282",121,3.69%,Product,5B+,IPO,Low,Small,Mature
Company46,United States,Entertainment,2024-05-20,2024,"14,107",485,3.44%,HR,100M,IPO,Low,Medium,Early Stage
Company8,Canada,E-commerce,2023-06-09,2023,"45,469",3527,7.76%,HR,1B,Private,High,Large,Late Stage
Apple,Germany,Social Media,2020-12-30,2020,"47,149",4638,9.84%,Sales,2B,Private,Severe,Large,Late Stage
Company38,United States,Fintech,2022-10-29,2022,"18,454",1800,9.75%,Engineering,5B+,Series A,Severe,Medium,Mature
Company6,United States,Automotive,2025-12-20,2025,"4,536",464,10.23%,Operations,500M,Series A,Severe,Small,Growth Stage
Netflix,India,Software,2025-08-22,2025,"6,063",381,6.28%,Product,100M,Series A,Moderate,Medium,Early Stage
Company8,United Kingdom,E-commerce,2020-05-11,2020,"10,643",529,4.97%,Marketing,5B+,IPO,Low,Medium,Mature
Company22,United States,E-commerce,2025-02-04,2025,"28,068",2354,8.39%,Sales,2B,Private,Severe,Large,Late Stage
Company35,United States,Entertainment,2024-02-26,2024,"28,825",NA,0.00%,HR,Not specified,Series A,Low,Large,Unknown
Company34,India,Automotive,2020-08-22,2020,"20,163",477,2.37%,Engineering,2B,IPO,Low,Large,Late Stage
Company19,United States,Social Media,2020-07-10,2020,"24,398",2195,9.00%,Marketing,100M,Public,Severe,Large,Early Stage
Amazon,India,Automotive,2023-09-21,2023,"9,776",241,2.47%,Marketing,100M,Private,Low,Medium,Early Stage
Shopify,France,E-commerce,2021-12-18,2021,"48,918",700,1.43%,Operations,5B+,Private,Low,Large,Mature
Company32,Germany,E-commerce,2021-11-12,2021,"26,382",2283,8.65%,Engineering,2B,Public,Severe,Large,Late Stage
Company7,United States,Entertainment,2022-03-01,2022,"46,038",4218,9.16%,Marketing,Not Specified,IPO,Severe,Large,Unknown
Company16,Canada,Software,2020-07-09,2020,"25,982",1882,7.24%,Marketing,5B+,IPO,High,Large,Mature
Company45,France,Software,2023-11-05,2023,"16,409",1342,8.18%,Engineering,5B+,Private,Severe,Medium,Mature
Company33,United States,Automotive,2021-06-30,2021,"4,199",160,3.81%,HR,Not specified,Public,Low,Small,Unknown
Company22,United Kingdom,Software,2025-02-06,2025,"18,375",1749,9.52%,Product,100M,IPO,Severe,Medium,Early Stage
Company14,United States,Entertainment,2020-12-02,2020,"18,325",NA,0.00%,Marketing,1B,Private,Low,Medium,Late Stage
Company32,Germany,Automotive,2021-11-30,2021,"9,495",579,6.10%,Marketing,2B,Series A,Moderate,Medium,Late Stage
Amazon,United States,E-commerce,2023-02-12,2023,"44,473",4280,9.62%,Operations,Not Specified,Series A,Severe,Large,Unknown
Company42,United Kingdom,Software,2022-07-24,2022,"21,943",922,4.20%,Operations,5B+,Public,Low,Large,Mature
Company32,Germany,Entertainment,2023-10-21,2023,"36,719",3303,9.00%,HR,1B,IPO,Severe,Large,Late Stage
Apple,United States,Social Media,2023-10-18,2023,"18,234",1117,6.13%,Engineering,1B,Public,Moderate,Medium,Late Stage
Company48,United Kingdom,Software,2021-11-16,2021,"48,198",4755,9.87%,Product,Not Specified,Public,Severe,Large,Unknown
Company42,Unknown,Social Media,2025-03-29,2025,"49,708",1020,2.05%,Design,5B+,Series A,Low,Large,Mature
Company45,Unknown,Automotive,2024-12-09,2024,"4,338",377,8.69%,HR,500M,Series A,Severe,Small,Growth Stage
DoorDash,United States,Automotive,2023-04-23,2023,"30,348",1630,5.37%,Sales,1B,IPO,Moderate,Large,Late Stage
Company37,United Kingdom,Hardware,2020-01-11,2020,"43,856",4222,9.63%,Sales,5B+,Private,Severe,Large,Mature
Company44,United States,Social Media,2024-10-18,2024,"11,161",930,8.33%,Operations,5B+,Series A,Severe,Medium,Mature
Zoom,United States,Cloud,2020-04-10,2020,"2,973",272,9.15%,Marketing,Not specified,Public,Severe,Small,Unknown
Company10,United States,E-commerce,2020-04-22,2020,"6,104",185,3.03%,Product,Not specified,Series A,Low,Medium,Unknown
Company37,Unknown,Fintech,2020-05-20,2020,"8,398",178,2.12%,Engineering,500M,IPO,Low,Medium,Growth Stage
Shopify,United Kingdom,Cloud,2024-01-09,2024,"47,865",1144,2.39%,Engineering,100M,Private,Low,Large,Early Stage
Company46,United States,Entertainment,2024-02-03,2024,"14,463",NA,0.00%,Product,5B+,IPO,Low,Medium,Mature
Company23,United States,Hardware,2023-02-07,2023,"2,238",212,9.47%,Marketing,500M,Series A,Severe,Small,Growth Stage
Microsoft,United States,Hardware,2024-12-15,2024,"14,394",NA,0.00%,Product,100M,IPO,Low,Medium,Early Stage
Company40,Unknown,Hardware,2023-07-20,2023,"29,291",564,1.93%,Product,100M,Private,Low,Large,Early Stage
Company50,United States,Fintech,2025-04-19,2025,"17,218",445,2.58%,Product,Not Specified,Public,Low,Medium,Unknown
Company39,Unknown,Social Media,2022-12-22,2022,"9,330",570,6.11%,Design,100M,Series A,Moderate,Medium,Early Stage
Company29,Canada,Fintech,2022-10-08,2022,"4,856",383,7.89%,Sales,1B,IPO,High,Small,Late Stage
Company7,United States,E-commerce,2023-01-19,2023,"38,921",1937,4.98%,Operations,100M,IPO,Low,Large,Early Stage
Company3,United States,Software,2023-09-03,2023,"31,535",2222,7.05%,Operations,1B,Public,High,Large,Late Stage
Company39,Unknown,Social Media,2020-11-16,2020,"19,312",1399,7.24%,Operations,500M,IPO,High,Medium,Growth Stage
Tesla,United States,Fintech,2021-01-03,2021,"29,330",1548,5.28%,Product,500M,Series A,Moderate,Large,Growth Stage
Company31,United States,Hardware,2023-01-29,2023,"1,160",11,0.95%,Engineering,1B,IPO,Low,Small,Late Stage
Company45,France,Fintech,2020-02-09,2020,"16,648",1535,9.22%,Marketing,1B,Series A,Severe,Medium,Late Stage
Company35,United States,Cloud,2022-01-07,2022,"28,981",1062,3.66%,Operations,1B,Public,Low,Large,Late Stage
Company1,Canada,Hardware,2023-12-08,2023,"44,452",658,1.48%,Operations,1B,IPO,Low,Large,Late Stage
Company8,United Kingdom,Social Media,2023-02-25,2023,"31,511",1897,6.02%,Product,100M,IPO,Moderate,Large,Early Stage
Company47,United States,E-commerce,2022-01-24,2022,"36,757",NA,0.00%,Finance,5B+,Series A,Low,Large,Mature
Company16,United States,Software,2025-08-29,2025,"48,452",3383,6.98%,HR,5B+,Series A,Moderate,Large,Mature
Company7,Unknown,Software,2025-11-28,2025,"10,268",724,7.05%,Finance,500M,Private,High,Medium,Growth Stage
Company37,United States,Fintech,2025-11-09,2025,"31,531",102,0.32%,Design,Not Specified,Private,Low,Large,Unknown
Uber,United States,Automotive,2021-08-23,2021,"33,334",NA,0.00%,Product,Not specified,Series A,Low,Large,Unknown
Company46,United States,Software,2025-05-07,2025,"49,411",847,1.71%,Operations,100M,IPO,Low,Large,Early Stage
Company26,Unknown,Automotive,2023-07-21,2023,"10,624",613,5.77%,Engineering,1B,Public,Moderate,Medium,Late Stage
Company29,United Kingdom,E-commerce,2021-03-29,2021,"17,059",829,4.86%,Product,Not Specified,IPO,Low,Medium,Unknown
DoorDash,Unknown,Hardware,2020-06-03,2020,"43,876",1928,4.39%,Finance,5B+,Private,Low,Large,Mature
Company30,United States,Hardware,2022-05-07,2022,"7,800",821,10.53%,Finance,Not specified,Series A,Severe,Medium,Unknown
Company11,Germany,Cloud,2025-12-09,2025,"4,314",NA,0.00%,Engineering,Not specified,Private,Low,Small,Unknown
Company9,India,Hardware,2025-09-07,2025,"32,476",3252,10.01%,Design,500M,IPO,Severe,Large,Growth Stage
Company29,United States,Automotive,2024-08-03,2024,"17,988",1006,5.59%,Product,1B,Private,Moderate,Medium,Late Stage
Company35,United Kingdom,Fintech,2021-10-28,2021,"14,778",248,1.68%,HR,5B+,Public,Low,Medium,Mature
Company42,India,E-commerce,2022-09-25,2022,"37,258",884,2.37%,HR,Not specified,Public,Low,Large,Unknown
Company47,United States,Software,2022-07-28,2022,"48,353",26,0.05%,Finance,Not specified,Private,Low,Large,Unknown
Company4,United Kingdom,Hardware,2021-09-24,2021,"24,902",1188,4.77%,Finance,Not Specified,IPO,Low,Large,Unknown
Google,France,Cloud,2023-06-03,2023,"42,470",3939,9.27%,Operations,Not Specified,Private,Severe,Large,Unknown
Company31,United Kingdom,Hardware,2024-06-26,2024,"27,365",1632,5.96%,Engineering,Not specified,Private,Moderate,Large,Unknown
Company2,Unknown,Social Media,2024-11-28,2024,"34,872",558,1.60%,Design,2B,Private,Low,Large,Late Stage
Company16,Germany,Entertainment,2020-12-07,2020,"47,052",3958,8.41%,Design,5B+,IPO,Severe,Large,Mature
Google,United States,E-commerce,2025-07-04,2025,"26,992",1367,5.06%,Marketing,Not specified,Series A,Moderate,Large,Unknown
Microsoft,Germany,Fintech,2021-05-11,2021,"6,056",333,5.50%,Operations,500M,Private,Moderate,Medium,Growth Stage
Company26,United Kingdom,Fintech,2023-04-20,2023,"44,292",4294,9.69%,Operations,Not Specified,Private,Severe,Large,Unknown
Oracle,Canada,Social Media,2021-04-01,2021,"36,725",1961,5.34%,Marketing,1B,Public,Moderate,Large,Late Stage
Company25,United States,Social Media,2024-06-27,2024,"26,034",473,1.82%,Marketing,2B,IPO,Low,Large,Late Stage
Company45,Canada,Fintech,2023-04-09,2023,"42,000",2425,5.77%,Finance,5B+,IPO,Moderate,Large,Mature
Company5,United Kingdom,Entertainment,2025-07-12,2025,"3,621",248,6.85%,Marketing,1B,IPO,Moderate,Small,Late Stage
Shopify,United States,Automotive,2024-08-13,2024,"6,376",251,3.94%,Sales,2B,Series A,Low,Medium,Late Stage
Company43,United States,Automotive,2020-11-06,2020,"7,762",NA,0.00%,Design,Not specified,Series A,Low,Medium,Unknown
Netflix,Germany,Cloud,2022-02-18,2022,"44,359",1655,3.73%,Product,5B+,Public,Low,Large,Mature
Company11,Unknown,Automotive,2021-02-11,2021,"3,590",190,5.29%,Sales,Not specified,Series A,Moderate,Small,Unknown
Company24,United States,Automotive,2021-07-05,2021,"32,087",NA,0.00%,Engineering,2B,Public,Low,Large,Late Stage
Company35,Canada,Entertainment,2022-03-08,2022,"33,826",2940,8.69%,Engineering,100M,Series A,Severe,Large,Early Stage
Company41,Unknown,Fintech,2024-12-25,2024,"2,431",248,10.20%,Finance,1B,Series A,Severe,Small,Late Stage
Company47,United States,Entertainment,2021-08-19,2021,"7,382",813,11.01%,Marketing,Not specified,Public,Severe,Medium,Unknown
Company36,France,Entertainment,2021-12-10,2021,"46,183",2608,5.65%,Finance,Not specified,Private,Moderate,Large,Unknown
Company20,United Kingdom,Cloud,2021-02-18,2021,"23,251",2273,9.78%,Sales,100M,Private,Severe,Large,Early Stage
Company17,Unknown,Automotive,2025-02-27,2025,"2,447",44,1.80%,Operations,5B+,Private,Low,Small,Mature
Company38,Unknown,Entertainment,2020-09-10,2020,"3,587",23,0.64%,Operations,Not Specified,Private,Low,Small,Unknown
Company29,United Kingdom,E-commerce,2022-08-25,2022,"4,970",108,2.17%,Finance,Not specified,IPO,Low,Small,Unknown
Stripe,United States,Social Media,2023-12-20,2023,"24,664",660,2.68%,Finance,100M,Public,Low,Large,Early Stage
Intel,Unknown,E-commerce,2024-10-16,2024,"40,894",NA,0.00%,Engineering,1B,Private,Low,Large,Late Stage
Company36,Canada,Automotive,2024-04-02,2024,"48,431",871,1.80%,HR,2B,Series A,Low,Large,Late Stage
Company35,United Kingdom,Software,2025-01-28,2025,"8,347",334,4.00%,HR,500M,Public,Low,Medium,Growth Stage
Company40,United Kingdom,Software,2020-07-08,2020,"28,453",2433,8.55%,Sales,Not specified,Private,Severe,Large,Unknown
Company12,India,E-commerce,2023-09-08,2023,"36,863",2331,6.32%,Operations,Not Specified,Private,Moderate,Large,Unknown
Company27,United States,Social Media,2022-02-08,2022,"32,971",2677,8.12%,Finance,Not Specified,Private,Severe,Large,Unknown
Airbnb,Unknown,Automotive,2025-04-15,2025,"23,606",1968,8.34%,Finance,1B,Private,Severe,Large,Late Stage
Company12,Germany,Fintech,2020-06-19,2020,"6,728",656,9.75%,Sales,1B,Private,Severe,Medium,Late Stage
Company26,France,Fintech,2020-11-25,2020,"46,765",958,2.05%,Marketing,Not specified,IPO,Low,Large,Unknown
Company10,India,Automotive,2025-09-03,2025,"30,256",3015,9.96%,Design,1B,Series A,Severe,Large,Late Stage
Netflix,Unknown,Entertainment,2024-12-04,2024,"34,529",1289,3.73%,Design,5B+,Public,Low,Large,Mature
Company17,France,Automotive,2025-01-15,2025,"10,321",239,2.32%,HR,5B+,Public,Low,Medium,Mature
Stripe,Unknown,Hardware,2023-12-06,2023,"21,171",2055,9.71%,Engineering,500M,IPO,Severe,Large,Growth Stage
Company4,United States,Software,2022-09-14,2022,"9,155",561,6.13%,Sales,1B,IPO,Moderate,Medium,Late Stage
Company16,United States,Software,2022-04-12,2022,"18,376",NA,0.00%,Marketing,500M,Series A,Low,Medium,Growth Stage
Company1,India,Hardware,2020-12-31,2020,"5,027",30,0.60%,Product,100M,IPO,Low,Medium,Early Stage
Netflix,United States,Entertainment,2022-06-03,2022,"15,547",NA,0.00%,Engineering,Not Specified,Public,Low,Medium,Unknown
Company35,Germany,E-commerce,2021-04-16,2021,"18,409",28,0.15%,Sales,2B,Private,Low,Medium,Late Stage
Company9,United Kingdom,E-commerce,2020-07-08,2020,"21,389",560,2.62%,Marketing,1B,Series A,Low,Large,Late Stage
Company22,Unknown,Fintech,2021-12-22,2021,"39,616",1637,4.13%,Marketing,500M,Public,Low,Large,Growth Stage
Oracle,United States,Entertainment,2023-02-15,2023,"14,025",97,0.69%,Marketing,500M,IPO,Low,Medium,Growth Stage
Company28,United States,Software,2022-04-06,2022,"43,002",2548,5.93%,Product,100M,Private,Moderate,Large,Early Stage
Company17,United States,Entertainment,2025-08-22,2025,"38,790",1145,2.95%,Product,Not specified,Public,Low,Large,Unknown
Company20,United States,Automotive,2024-10-21,2024,"36,287",2580,7.11%,Operations,5B+,IPO,High,Large,Mature
Company35,United States,Entertainment,2020-03-26,2020,"47,741",194,0.41%,HR,2B,IPO,Low,Large,Late Stage
Company4,United States,Software,2020-10-14,2020,"3,438",182,5.29%,Marketing,Not Specified,Public,Moderate,Small,Unknown
Company22,United States,Hardware,2021-01-09,2021,"22,740",1427,6.28%,HR,1B,Series A,Moderate,Large,Late Stage
Amazon,Unknown,Social Media,2024-11-07,2024,"6,230",142,2.28%,Marketing,1B,Public,Low,Medium,Late Stage
Company22,Germany,Cloud,2022-10-06,2022,"41,551",254,0.61%,HR,5B+,Private,Low,Large,Mature
Company41,Canada,E-commerce,2023-05-02,2023,"8,018",604,7.53%,Operations,Not Specified,Public,High,Medium,Unknown
Company26,India,Hardware,2022-02-26,2022,"14,187",709,5.00%,Product,100M,Private,Low,Medium,Early Stage
Company21,Germany,Entertainment,2022-12-28,2022,"6,622",382,5.77%,Product,1B,Public,Moderate,Medium,Late Stage
Company35,Canada,Hardware,2024-05-31,2024,"49,310",267,0.54%,Product,Not Specified,Public,Low,Large,Unknown
Apple,United Kingdom,Automotive,2022-12-30,2022,"32,014",795,2.48%,Engineering,5B+,Private,Low,Large,Mature
Company22,United Kingdom,Fintech,2024-04-01,2024,"29,424",708,2.41%,Engineering,2B,IPO,Low,Large,Late Stage
Microsoft,United States,Software,2024-02-06,2024,"19,260",912,4.74%,Operations,500M,Public,Low,Medium,Growth Stage
Company9,France,Fintech,2023-07-31,2023,"49,292",1636,3.32%,Sales,2B,Private,Low,Large,Late Stage
Company33,Germany,Cloud,2024-01-01,2024,"3,693",212,5.74%,Marketing,5B+,Public,Moderate,Small,Mature
Snowflake,United States,Entertainment,2020-10-07,2020,"9,959",623,6.26%,Sales,500M,IPO,Moderate,Medium,Growth Stage
Company1,Unknown,Software,2021-05-17,2021,"40,897",606,1.48%,Operations,Not specified,Private,Low,Large,Unknown
Company41,Unknown,Hardware,2024-04-05,2024,"5,090",322,6.33%,Product,Not Specified,Public,Moderate,Medium,Unknown
Company17,India,E-commerce,2025-08-10,2025,"8,733",88,1.01%,HR,2B,Private,Low,Medium,Late Stage
Company40,United States,Cloud,2020-11-22,2020,"31,364",2423,7.73%,Engineering,2B,IPO,High,Large,Late Stage
Company1,United States,Entertainment,2021-03-12,2021,"16,654",1416,8.50%,Product,5B+,Series A,Severe,Medium,Mature
Tesla,United States,Automotive,2020-02-27,2020,"29,768",1187,3.99%,Design,Not Specified,Private,Low,Large,Unknown
Company7,United Kingdom,Hardware,2023-09-15,2023,"31,031",1783,5.75%,Design,100M,Public,Moderate,Large,Early Stage
Company8,France,Fintech,2025-05-02,2025,"30,476",1105,3.63%,Operations,Not specified,Series A,Low,Large,Unknown
Company12,Canada,Social Media,2020-12-21,2020,"14,751",840,5.69%,Design,2B,IPO,Moderate,Medium,Late Stage
Company18,France,Fintech,2023-05-21,2023,"36,829",1807,4.91%,Engineering,Not specified,Series A,Low,Large,Unknown
Company26,United Kingdom,E-commerce,2023-04-11,2023,"41,090",2420,5.89%,Operations,Not specified,IPO,Moderate,Large,Unknown
Company45,United States,E-commerce,2025-02-08,2025,"35,346",1582,4.48%,Sales,5B+,IPO,Low,Large,Mature
Intel,France,Automotive,2025-06-29,2025,"19,891",1390,6.99%,HR,5B+,Private,Moderate,Medium,Mature
Palantir,United States,Entertainment,2023-06-18,2023,"23,640",1944,8.22%,Engineering,Not Specified,Private,Severe,Large,Unknown
Company33,United Kingdom,Entertainment,2020-07-27,2020,"27,641",NA,0.00%,Operations,5B+,Series A,Low,Large,Mature
Company39,United Kingdom,Social Media,2024-06-15,2024,"25,403",1188,4.68%,Design,Not specified,Private,Low,Large,Unknown
Uber,United States,Cloud,2025-11-22,2025,"21,493",1453,6.76%,Sales,Not specified,Private,Moderate,Large,Unknown
Snowflake,United States,Software,2023-06-23,2023,"6,051",322,5.32%,Finance,Not specified,Private,Moderate,Medium,Unknown
Company50,United States,Social Media,2020-12-01,2020,"16,563",NA,0.00%,Product,Not Specified,IPO,Low,Medium,Unknown
Uber,United States,Fintech,2025-05-27,2025,"19,055",1502,7.88%,Sales,5B+,IPO,High,Medium,Mature
Company27,United States,Software,2020-02-19,2020,"6,279",634,10.10%,Marketing,5B+,Series A,Severe,Medium,Mature
Company43,India,Software,2021-05-22,2021,"33,238",959,2.89%,Product,2B,Series A,Low,Large,Late Stage
Company5,United States,E-commerce,2024-09-03,2024,"2,779",85,3.06%,Marketing,Not specified,Private,Low,Small,Unknown
Uber,Germany,E-commerce,2022-04-10,2022,"24,437",NA,0.00%,Marketing,2B,Public,Low,Large,Late Stage
Company4,United States,Hardware,2020-06-19,2020,"32,147",1944,6.05%,Product,1B,IPO,Moderate,Large,Late Stage
Microsoft,Germany,Hardware,2021-11-30,2021,"18,241",530,2.91%,Marketing,100M,Series A,Low,Medium,Early Stage
Company10,Unknown,Fintech,2020-11-02,2020,"22,034",302,1.37%,Engineering,Not Specified,IPO,Low,Large,Unknown
Company48,India,Entertainment,2021-08-22,2021,"31,268",1774,5.67%,Sales,100M,IPO,Moderate,Large,Early Stage
Amazon,United States,Software,2024-01-03,2024,"40,322",2601,6.45%,Engineering,500M,Private,Moderate,Large,Growth Stage
Company49,United States,E-commerce,2024-02-09,2024,"23,491",NA,0.00%,Design,Not Specified,IPO,Low,Large,Unknown
Company15,France,Fintech,2020-08-31,2020,"25,187",2536,10.07%,Finance,Not Specified,Public,Severe,Large,Unknown
Company32,Germany,Hardware,2022-10-27,2022,"23,135",1064,4.60%,Operations,100M,IPO,Low,Large,Early Stage
Stripe,Unknown,Cloud,2020-05-18,2020,"19,263",308,1.60%,Design,Not Specified,IPO,Low,Medium,Unknown
Company8,France,Cloud,2023-04-26,2023,"36,246",2968,8.19%,Design,Not Specified,Series A,Severe,Large,Unknown
